Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,hasGarage,hasBsmt,hasAlley_Access,hasFireplace,hasPool,hasFence,hasMisc_Feature,hasMasVnr,GrLivAreaHighQualitySF,TotalIndoorSF,TotalOutdoorSF,TotalSF,BsmtBaths,Baths,hasBeenRemodeled,NumFloors
11,5.0,3.0,70.0,11200,1.0,1.0,3.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,0.0,2.0,5.0,4.0,1965,1965,3.0,1.0,6.0,6.0,3.0,0.0,3,3,1.0,3,3,3.0,5.0,906,6.0,0,134,1040,1.0,5,1.0,4.0,1040,0,0,1040,2.0,0.0,1.0,0.0,3.0,1.0,3,9.0,6.0,0.0,0,5.0,1965.0,3.0,2.0,384,3,3,2.0,0,0,0,0,0,0,0,0.0,1.0,0,4.0,2.0,8.0,4.0,129500,1,1,0,0,0,0,0,1,1040,2080,0,2464,1.0,1.0,0,2
12,10.0,3.0,85.0,11924,1.0,1.0,0.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,5.0,9.0,4.0,2005,2006,3.0,1.0,14.0,15.0,4.0,286.0,5,3,2.0,5,3,3.0,2.0,998,6.0,0,177,1175,1.0,5,1.0,4.0,1182,1142,0,2324,2.0,0.0,3.0,0.0,4.0,1.0,5,1.0,6.0,2.0,4,3.0,2005.0,0.0,6.0,736,3,3,2.0,147,21,0,0,0,0,0,0.0,1.0,0,9.0,0.0,6.0,5.0,345000,1,1,0,1,0,0,0,1,2324,3499,21,4256,1.0,3.0,1,3
13,5.0,3.0,82.4,12968,1.0,1.0,1.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,0.0,2.0,5.0,5.0,1962,1962,3.0,1.0,6.0,10.0,3.0,0.0,3,3,1.0,3,3,3.0,0.0,737,6.0,0,175,912,1.0,3,1.0,4.0,912,0,0,912,2.0,0.0,1.0,0.0,2.0,1.0,3,8.0,6.0,0.0,0,5.0,1962.0,3.0,2.0,352,3,3,2.0,140,0,0,0,176,0,0,0.0,1.0,0,11.0,2.0,8.0,4.0,144000,1,1,0,0,0,0,0,1,912,1824,176,2352,1.0,1.0,0,2
14,5.0,3.0,91.0,10652,1.0,1.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,7.0,4.0,2006,2007,1.0,1.0,12.0,13.0,4.0,306.0,4,3,2.0,4,3,0.0,6.0,0,6.0,0,1494,1494,1.0,5,1.0,4.0,1494,0,0,1494,0.0,0.0,2.0,0.0,3.0,1.0,4,11.0,6.0,1.0,4,1.0,2006.0,2.0,6.0,840,3,3,2.0,160,33,0,0,0,0,0,0.0,1.0,0,10.0,1.0,6.0,5.0,279500,1,1,0,1,0,0,0,1,1494,2988,33,3861,0.0,2.0,1,2
15,5.0,3.0,88.05,10920,1.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,6.0,4.0,1960,1960,3.0,1.0,8.0,8.0,1.0,212.0,3,3,1.0,3,3,3.0,1.0,733,6.0,0,520,1253,1.0,3,1.0,4.0,1253,0,0,1253,2.0,0.0,1.0,1.0,2.0,1.0,3,9.0,6.0,1.0,2,1.0,1960.0,2.0,2.0,352,3,3,2.0,0,213,176,0,0,0,0,2.0,1.0,0,7.0,2.0,8.0,4.0,157000,1,1,0,1,0,1,0,1,1253,2506,389,3247,1.0,1.5,0,2
16,8.0,4.0,51.0,6120,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,7.0,7.0,1929,2001,1.0,1.0,13.0,14.0,3.0,0.0,3,3,0.0,3,3,3.0,6.0,0,6.0,0,832,832,1.0,5,1.0,0.0,854,0,0,854,0.0,0.0,1.0,0.0,2.0,1.0,3,9.0,6.0,0.0,0,5.0,1991.0,3.0,4.0,576,3,3,2.0,48,112,0,0,0,0,0,1.0,1.0,0,9.0,1.0,8.0,4.0,132000,1,1,0,0,0,1,0,1,854,1686,112,2374,0.0,1.0,1,2
17,5.0,3.0,69.4,11241,1.0,1.0,0.0,3.0,0.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0,6.0,6.0,1970,1970,1.0,1.0,13.0,14.0,1.0,180.0,3,3,1.0,3,3,3.0,0.0,578,6.0,0,426,1004,1.0,5,1.0,4.0,1004,0,0,1004,2.0,0.0,1.0,0.0,2.0,1.0,3,9.0,6.0,1.0,3,1.0,1970.0,0.0,4.0,480,3,3,2.0,0,0,0,0,0,0,0,0.0,3.0,700,5.0,4.0,8.0,4.0,149000,1,1,0,1,0,0,1,1,1004,2008,0,2488,1.0,1.0,0,2
18,15.0,3.0,72.0,10791,1.0,1.0,3.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,2.0,2.0,4.0,4.0,1967,1967,1.0,1.0,8.0,8.0,3.0,0.0,3,3,3.0,0,0,4.0,4.0,0,4.0,0,0,0,1.0,3,1.0,4.0,1296,0,0,1296,0.0,0.0,2.0,0.0,2.0,2.0,3,10.0,6.0,0.0,0,4.0,1967.0,3.0,4.0,516,3,3,2.0,0,0,0,0,0,0,0,0.0,3.0,500,1.0,0.0,8.0,4.0,90000,1,0,0,0,0,0,1,1,1296,1296,0,1812,0.0,2.0,0,1
19,5.0,3.0,66.0,13695,1.0,1.0,3.0,3.0,0.0,4.0,0.0,20.0,5.0,2.0,0.0,2.0,5.0,4.0,2004,2004,1.0,1.0,12.0,13.0,3.0,0.0,3,3,2.0,3,3,3.0,2.0,646,6.0,0,468,1114,1.0,5,1.0,4.0,1114,0,0,1114,2.0,0.0,1.0,1.0,3.0,1.0,4,10.0,6.0,0.0,0,5.0,2004.0,3.0,4.0,576,3,3,2.0,0,102,0,0,0,0,0,0.0,1.0,0,8.0,2.0,8.0,4.0,159000,1,1,0,0,0,0,0,1,1114,2228,102,2906,1.0,1.5,0,2
20,5.0,3.0,70.0,7560,1.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,5.0,1958,1965,3.0,1.0,3.0,10.0,3.0,0.0,3,3,1.0,3,3,3.0,3.0,504,6.0,0,525,1029,1.0,3,1.0,4.0,1339,0,0,1339,0.0,0.0,1.0,0.0,3.0,1.0,3,10.0,2.0,0.0,0,1.0,1958.0,3.0,2.0,294,3,3,2.0,0,0,0,0,0,0,0,3.0,1.0,0,7.0,3.0,0.0,0.0,139000,1,1,0,0,0,1,0,1,1339,2368,0,2662,0.0,1.0,1,2
21,10.0,3.0,101.0,14215,1.0,1.0,0.0,3.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,5.0,8.0,4.0,2005,2006,1.0,1.0,12.0,13.0,1.0,380.0,4,3,2.0,5,3,0.0,6.0,0,6.0,0,1158,1158,1.0,5,1.0,4.0,1158,1218,0,2376,0.0,0.0,3.0,1.0,4.0,1.0,4,13.0,6.0,1.0,4,3.0,2005.0,2.0,6.0,853,3,3,2.0,240,154,0,0,0,0,0,0.0,1.0,0,2.0,0.0,6.0,5.0,325300,1,1,0,1,0,0,0,1,2376,3534,154,4541,0.0,3.5,1,3
22,8.0,4.0,57.0,7449,1.0,0.0,3.0,0.0,0.0,4.0,0.0,9.0,2.0,2.0,0.0,1.0,7.0,6.0,1930,1950,1.0,1.0,13.0,14.0,3.0,0.0,3,3,2.0,3,3,3.0,6.0,0,6.0,0,637,637,1.0,5,1.0,1.0,1108,0,0,1108,0.0,0.0,1.0,0.0,3.0,1.0,4,10.0,6.0,1.0,4,1.0,1930.0,3.0,2.0,280,3,3,0.0,0,0,205,0,0,0,0,1.0,1.0,0,8.0,1.0,8.0,4.0,139400,1,1,1,1,0,1,0,1,1108,1745,205,2230,0.0,1.0,1,2
23,5.0,3.0,75.0,9742,1.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,8.0,4.0,2002,2002,3.0,1.0,12.0,13.0,1.0,281.0,4,3,2.0,4,3,3.0,6.0,0,6.0,0,1777,1777,1.0,5,1.0,4.0,1795,0,0,1795,0.0,0.0,2.0,0.0,3.0,1.0,4,11.0,6.0,1.0,4,1.0,2002.0,2.0,4.0,534,3,3,2.0,171,159,0,0,0,0,0,0.0,1.0,0,11.0,2.0,8.0,4.0,230000,1,1,0,1,0,0,0,1,1795,3572,159,4265,0.0,2.0,0,2
24,0.0,4.0,44.0,4224,1.0,1.0,3.0,3.0,0.0,4.0,0.0,10.0,2.0,2.0,4.0,2.0,5.0,6.0,1976,1976,1.0,1.0,5.0,5.0,3.0,0.0,3,3,2.0,4,3,3.0,2.0,840,6.0,0,200,1040,1.0,3,1.0,4.0,1060,0,0,1060,2.0,0.0,1.0,0.0,3.0,1.0,3,10.0,6.0,1.0,3,1.0,1976.0,3.0,4.0,572,3,3,2.0,100,110,0,0,0,0,0,0.0,1.0,0,8.0,1.0,8.0,4.0,129900,1,1,0,1,0,0,0,1,1060,2100,110,2782,1.0,1.0,0,2
25,5.0,3.0,70.52,8246,1.0,1.0,0.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,0.0,2.0,5.0,7.0,1968,2001,1.0,1.0,9.0,10.0,3.0,0.0,3,4,1.0,3,3,2.0,5.0,188,0.0,668,204,1060,1.0,5,1.0,4.0,1060,0,0,1060,2.0,0.0,1.0,0.0,3.0,1.0,4,10.0,6.0,1.0,3,1.0,1968.0,3.0,2.0,270,3,3,2.0,406,90,0,0,0,0,0,3.0,1.0,0,7.0,4.0,8.0,4.0,154000,1,1,0,1,0,1,0,1,1060,2120,90,2480,1.0,1.0,1,2
26,5.0,3.0,110.0,14230,1.0,1.0,3.0,3.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,2.0,8.0,4.0,2007,2007,1.0,1.0,12.0,13.0,4.0,640.0,4,3,2.0,4,3,3.0,6.0,0,6.0,0,1566,1566,1.0,5,1.0,4.0,1600,0,0,1600,0.0,0.0,2.0,0.0,3.0,1.0,4,11.0,6.0,1.0,4,1.0,2007.0,2.0,6.0,890,3,3,2.0,0,56,0,0,0,0,0,0.0,1.0,0,9.0,3.0,8.0,4.0,256300,1,1,0,1,0,0,0,1,1600,3166,56,4112,0.0,2.0,0,2
27,5.0,3.0,60.0,7200,1.0,1.0,3.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,6.0,1951,2000,1.0,1.0,13.0,14.0,3.0,0.0,3,3,1.0,3,3,2.0,1.0,234,5.0,486,180,900,1.0,3,1.0,4.0,900,0,0,900,0.0,2.0,1.0,0.0,3.0,1.0,4,9.0,6.0,0.0,0,5.0,2005.0,3.0,4.0,576,3,3,2.0,222,32,0,0,0,0,0,0.0,1.0,0,7.0,4.0,8.0,4.0,134800,1,1,0,0,0,0,0,1,900,1800,32,2408,0.5,1.0,1,2
28,5.0,3.0,98.0,11478,1.0,1.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,2.0,8.0,4.0,2007,2008,1.0,1.0,12.0,13.0,4.0,200.0,4,3,2.0,5,3,3.0,2.0,1218,6.0,0,486,1704,1.0,5,1.0,4.0,1704,0,0,1704,2.0,0.0,2.0,0.0,3.0,1.0,4,11.0,6.0,1.0,4,1.0,2008.0,2.0,6.0,772,3,3,2.0,0,50,0,0,0,0,0,0.0,1.0,0,7.0,4.0,8.0,4.0,306000,1,1,0,1,0,0,0,1,1704,3408,50,4230,1.0,2.0,1,2
29,5.0,3.0,47.0,16321,1.0,1.0,0.0,3.0,0.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,5.0,1957,1997,1.0,1.0,8.0,8.0,3.0,0.0,3,3,1.0,3,3,1.0,1.0,1277,6.0,0,207,1484,1.0,3,1.0,4.0,1600,0,0,1600,2.0,0.0,1.0,0.0,2.0,1.0,3,10.0,6.0,2.0,4,1.0,1957.0,2.0,2.0,319,3,3,2.0,288,258,0,0,0,0,0,0.0,1.0,0,3.0,0.0,8.0,4.0,207500,1,1,0,1,0,0,0,1,1600,3084,258,3661,1.0,1.0,1,2
30,6.0,4.0,60.0,6324,1.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,1.0,7.0,0.0,2.0,4.0,5.0,1927,1950,1.0,1.0,8.0,8.0,3.0,0.0,3,3,0.0,3,3,3.0,6.0,0,6.0,0,520,520,1.0,2,0.0,4.0,520,0,0,520,0.0,0.0,1.0,0.0,1.0,1.0,2,8.0,6.0,0.0,0,5.0,1920.0,3.0,2.0,240,2,3,2.0,49,0,87,0,0,0,0,0.0,1.0,0,7.0,2.0,8.0,4.0,68500,1,1,0,0,0,0,0,1,520,1040,87,1367,0.0,1.0,1,2
31,11.0,0.0,50.0,8500,1.0,2.0,3.0,3.0,0.0,4.0,0.0,9.0,1.0,2.0,0.0,5.0,4.0,3.0,1920,1950,2.0,1.0,3.0,3.0,3.0,0.0,3,2,0.0,3,3,3.0,6.0,0,6.0,0,649,649,1.0,3,0.0,4.0,649,668,0,1317,0.0,0.0,1.0,0.0,3.0,1.0,3,10.0,6.0,0.0,0,5.0,1920.0,3.0,2.0,250,3,2,0.0,0,54,172,0,0,0,0,3.0,1.0,0,9.0,2.0,8.0,4.0,40000,1,1,1,0,0,1,0,1,1317,1966,226,2442,0.0,1.0,1,3
32,5.0,3.0,70.04,8544,1.0,1.0,0.0,3.0,0.0,1.0,0.0,19.0,2.0,2.0,0.0,2.0,5.0,5.0,1966,2006,1.0,1.0,6.0,6.0,3.0,0.0,3,3,1.0,3,3,3.0,6.0,0,6.0,0,1228,1228,1.0,4,1.0,4.0,1228,0,0,1228,0.0,0.0,1.0,1.0,3.0,1.0,4,10.0,6.0,0.0,0,1.0,1966.0,3.0,2.0,271,3,3,2.0,0,65,0,0,0,0,0,3.0,1.0,0,8.0,2.0,8.0,4.0,149350,1,1,0,0,0,1,0,1,1228,2456,65,2792,0.0,1.5,1,2
33,5.0,3.0,85.0,11049,1.0,1.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,8.0,4.0,2007,2007,1.0,1.0,12.0,13.0,3.0,0.0,4,3,2.0,5,3,0.0,6.0,0,6.0,0,1234,1234,1.0,5,1.0,4.0,1234,0,0,1234,0.0,0.0,2.0,0.0,3.0,1.0,4,11.0,6.0,0.0,0,1.0,2007.0,2.0,4.0,484,3,3,2.0,0,30,0,0,0,0,0,0.0,1.0,0,0.0,2.0,8.0,4.0,179900,1,1,0,0,0,0,0,1,1234,2468,30,2982,0.0,2.0,0,2
34,5.0,3.0,70.0,10552,1.0,1.0,0.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,4.0,1959,1959,3.0,1.0,3.0,3.0,3.0,0.0,3,3,1.0,3,3,3.0,5.0,1018,6.0,0,380,1398,1.0,4,1.0,4.0,1700,0,0,1700,0.0,2.0,1.0,1.0,4.0,1.0,4,10.0,6.0,1.0,4,1.0,1959.0,2.0,4.0,447,3,3,2.0,0,38,0,0,0,0,0,0.0,1.0,0,6.0,4.0,8.0,4.0,165500,1,1,0,1,0,0,0,1,1700,3098,38,3583,0.5,1.5,0,2
35,0.0,3.0,60.0,7313,1.0,1.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,4.0,2.0,9.0,4.0,2005,2005,3.0,1.0,8.0,8.0,1.0,246.0,5,3,2.0,5,3,3.0,2.0,1153,6.0,0,408,1561,1.0,5,1.0,4.0,1561,0,0,1561,2.0,0.0,2.0,0.0,2.0,1.0,5,10.0,6.0,1.0,4,1.0,2005.0,0.0,4.0,556,3,3,2.0,203,47,0,0,0,0,0,0.0,1.0,0,10.0,1.0,8.0,4.0,277500,1,1,0,1,0,0,0,1,1561,3122,47,3725,1.0,2.0,0,2
36,10.0,3.0,108.0,13418,1.0,1.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,5.0,8.0,4.0,2004,2005,1.0,1.0,12.0,13.0,4.0,132.0,4,3,2.0,5,3,0.0,6.0,0,6.0,0,1117,1117,1.0,5,1.0,4.0,1132,1320,0,2452,0.0,0.0,3.0,1.0,4.0,1.0,4,13.0,6.0,1.0,4,3.0,2004.0,0.0,6.0,691,3,3,2.0,113,32,0,0,0,0,0,0.0,1.0,0,11.0,0.0,8.0,4.0,309000,1,1,0,1,0,0,0,1,2452,3569,32,4292,0.0,3.5,1,3
37,5.0,3.0,112.0,10859,1.0,1.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,5.0,4.0,1994,1995,1.0,1.0,12.0,13.0,3.0,0.0,3,3,2.0,4,3,3.0,6.0,0,6.0,0,1097,1097,1.0,5,1.0,4.0,1097,0,0,1097,0.0,0.0,1.0,1.0,3.0,1.0,3,10.0,6.0,0.0,0,1.0,1995.0,3.0,4.0,672,3,3,2.0,392,64,0,0,0,0,0,0.0,1.0,0,8.0,3.0,8.0,4.0,145000,1,1,0,0,0,0,0,1,1097,2194,64,2930,0.0,1.5,1,2
38,5.0,3.0,74.0,8532,1.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,5.0,1954,1990,3.0,1.0,13.0,14.0,1.0,650.0,3,3,1.0,3,3,3.0,5.0,1213,6.0,0,84,1297,1.0,4,1.0,4.0,1297,0,0,1297,0.0,2.0,1.0,0.0,3.0,1.0,3,9.0,6.0,1.0,3,1.0,1954.0,0.0,4.0,498,3,3,2.0,0,0,0,0,0,0,0,0.0,1.0,0,1.0,3.0,8.0,4.0,153000,1,1,0,1,0,0,0,1,1297,2594,0,3092,0.5,1.0,1,2
39,5.0,3.0,68.0,7922,1.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,6.0,1953,2007,1.0,1.0,12.0,13.0,3.0,0.0,3,4,1.0,3,3,3.0,2.0,731,6.0,0,326,1057,1.0,3,1.0,4.0,1057,0,0,1057,2.0,0.0,1.0,0.0,3.0,1.0,4,9.0,6.0,0.0,0,5.0,1953.0,3.0,2.0,246,3,3,2.0,0,52,0,0,0,0,0,0.0,1.0,0,0.0,4.0,8.0,0.0,109000,1,1,0,0,0,0,0,1,1057,2114,52,2412,1.0,1.0,1,2
40,15.0,3.0,65.0,6040,1.0,1.0,3.0,3.0,0.0,4.0,0.0,7.0,2.0,2.0,2.0,2.0,4.0,4.0,1955,1955,1.0,1.0,0.0,10.0,3.0,0.0,3,3,2.0,0,0,4.0,4.0,0,4.0,0,0,0,1.0,3,0.0,2.0,1152,0,0,1152,0.0,0.0,2.0,0.0,2.0,2.0,2,10.0,6.0,0.0,0,6.0,0.0,1.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,8.0,2.0,8.0,1.0,82000,0,0,0,0,0,0,0,1,1152,1152,0,1152,0.0,2.0,0,1
